Segment	Voxel count	Volume mm3 (LM)	Volume cm3 (LM)	Surface mm2	Volume mm3 (CS)	Volume cm3 (CS)
Segment_1	195088	195088	195.088	64986	123793	123.793
Segment_1_2	51903	51903	51.903	35803.9	48075.6	48.0756
Segment_1_3	51269	51269	51.269	28893.8	50707.1	50.7071
Segment_1_4	28549	28549	28.549	16719.9	27583.3	27.5833
Segment_1_5	22406	22406	22.406	13396.9	22192	22.192
Segment_1_6	19010	19010	19.01	8104.21	19693.4	19.6934
Segment_1_7	13002	13002	13.002	6734.85	12760.4	12.7604
Segment_1_8	11040	11040	11.04	6150.64	10881	10.881
Segment_1_9	10415	10415	10.415	5440.08	10307.8	10.3078
Segment_1_10	10191	10191	10.191	3495.22	10420.2	10.4202
Segment_1_11	9496	9496	9.496	4850.84	9478.79	9.47879
Segment_1_12	7076	7076	7.076	4209.77	6992.97	6.99297
Segment_1_13	6805	6805	6.805	4045.48	6543.02	6.54302
Segment_1_14	6299	6299	6.299	4349.23	6028.76	6.02876
Segment_1_15	6774	6774	6.774	3389.74	6641.7	6.6417
Segment_1_16	6370	6370	6.37	3297.37	6431.4	6.4314
Segment_1_17	6240	6240	6.24	3757.2	6059.37	6.05937
Segment_1_18	5794	5794	5.794	2790.36	5889.36	5.88936
Segment_1_19	5254	5254	5.254	2351.07	5277.83	5.27783
Segment_1_20	4904	4904	4.904	2733.66	4632.63	4.63263
Segment_1_21	4184	4184	4.184	2399.1	4021.69	4.02169
Segment_1_22	4078	4078	4.078	1954.09	4061.64	4.06164
Segment_1_23	3820	3820	3.82	1941.14	3658.56	3.65856
Segment_1_24	2663	2663	2.663	1621.08	2386.64	2.38664
Segment_1_25	2689	2689	2.689	1479.88	2660.07	2.66007
Segment_1_26	2495	2495	2.495	1352	2408.97	2.40897
Segment_1_27	2360	2360	2.36	1288.28	2209.89	2.20989
Segment_1_28	2102	2102	2.102	1118.04	2027.08	2.02708
Segment_1_29	1949	1949	1.949	1067.18	1901.07	1.90107
Segment_1_30	1837	1837	1.837	933.554	1790.36	1.79036
Segment_1_31	1918	1918	1.918	900.263	1846.58	1.84658
Segment_1_32	1645	1645	1.645	1096.31	1502.73	1.50273
Segment_1_33	1619	1619	1.619	1071.02	1528.63	1.52863
Segment_1_34	1658	1658	1.658	869.59	1620.38	1.62038
Segment_1_35	1634	1634	1.634	869.202	1602.84	1.60284
Segment_1_36	1425	1425	1.425	764.47	1376.52	1.37652
Segment_1_37	1384	1384	1.384	877.245	1198.26	1.19826
Segment_1_38	1351	1351	1.351	773.136	1262.17	1.26217
Segment_1_39	1379	1379	1.379	758.973	1299.34	1.29934
Segment_1_40	1374	1374	1.374	687.19	1335.38	1.33538
Segment_1_41	1322	1322	1.322	754.16	1232	1.232
Segment_1_42	1339	1339	1.339	663.451	1309.59	1.30959
Segment_1_43	1266	1266	1.266	718.013	1173.54	1.17354
Segment_1_44	0	0	0	0	0	0
Segment_1_45	0	0	0	0	0	0
Segment_1_46	1079	1079	1.079	834.133	913.509	0.913509
Segment_1_47	990	990	0.99	633.308	931.618	0.931618
Segment_1_48	955	955	0.955	590.373	881.975	0.881975
Segment_1_49	904	904	0.904	720.15	825.915	0.825915
Segment_1_50	938	938	0.938	673.97	738.601	0.738601
